Ngày bán,Tên món gốc,Size,Số lượng,Doanh thu
11/08/2026,Cà Phê Sữa Đá (Pha Máy),S,178,4134235
11/08/2026,Bạc Sỉu,S,76,2033495
11/08/2026,Cà Phê Đen Đá (Pha Máy),S,48,1030532
11/08/2026,Nước Cam Tươi,S,46,1373108
11/08/2026,Trà Đào,S,33,1155000
11/08/2026,Trà Sữa Kem Trứng Nướng,S,30,1044256
11/08/2026,Trà Đào Cam Sả,S,27,945000
11/08/2026,Cafe Muối,S,25,700000
11/08/2026,Trà Tắc Xí Muội,S,23,677449
11/08/2026,Oolong Sen Nhãn Lá Nếp,S,23,801649
11/08/2026,Olong Sen Nhãn,S,23,805000
11/08/2026,Olong Lài Sữa Trân Châu,S,23,736000
11/08/2026,Olong Mơ Thanh Mai,S,23,805000
11/08/2026,Trà Vải Lài,S,23,805000
11/08/2026,Trà Tắc Thái Xanh,S,22,660000
11/08/2026,Xiên Cá Viên Chiên,Không ghi rõ,21,396170
11/08/2026,Trà Sữa Fulltopping,S,20,665000
11/08/2026,Matcha Latte Oatside,S,20,690075
11/08/2026,Trà Dứa Đác Rim,S,20,696557
11/08/2026,Sữa Chua Việt Quât,S,20,640000
11/08/2026,Trà Sữa Truyền Thống Trân Châu,S,18,576000
11/08/2026,Sữa Chua Xoài Thơm Đác,S,16,560000
11/08/2026,Trà Sữa Hạnh Nhân Phomai,S,16,560000
11/08/2026,Trà Ổi Hồng Ngọc Trai,S,15,525000
11/08/2026,Matcha Sen Lài Dừa,S,15,525000
11/08/2026,Matcha Coconut,S,15,521649
11/08/2026,Trà Me Đác Kim Quất,S,14,485930
11/08/2026,Socola Đá Xay,S,14,490000
11/08/2026,Khoai Tây Chiên Lắc Phô Mai,Không ghi rõ,13,390000
11/08/2026,Trà Dưa Lưới Tứ Quý,S,13,455000
11/08/2026,Trà Trái Cây Nhiệt Đới,S,13,455000
11/08/2026,Trà Đào Cam Sả,M,12,528000
11/08/2026,Trà Cam Dâu Đác,S,12,420000
11/08/2026,Sữa Tươi Trân Châu Đường Đen,S,12,420000
11/08/2026,Sữa Tươi Trân Châu Bánh Bò,S,12,420000
11/08/2026,Sữa Chua Dâu Tây,S,12,374925
11/08/2026,Trà Sữa Trân Châu Oreo Dầm,S,11,357254
11/08/2026,Trà Tắc Thái Xanh,M,11,351000
11/08/2026,Khoai Tây Chiên,Không ghi rõ,11,275000
11/08/2026,Bạc Sỉu,M,10,370000
11/08/2026,Matcha Latte Sữa Gấu,S,10,350000
11/08/2026,Matcha Latte Oatside,M,9,352000
11/08/2026,Trà Trái Cây Nhiệt Đới,M,9,396000
11/08/2026,Cafe Muối,M,9,333000
11/08/2026,Xúc Xich Đức Chiên,Không ghi rõ,9,225000
11/08/2026,Xiên Bò Viên Chiên,Không ghi rõ,9,171000
11/08/2026,Trà Sữa Khoai Môn Tươi,M,8,352000
11/08/2026,Trà Sữa Nguyên Lá Bánh Bò,S,8,240000
11/08/2026,Trà Sữa Khoai Môn Tươi,S,8,280000
11/08/2026,Trà Cam Dâu Đác,M,8,333592
11/08/2026,Trà Me Đác Kim Quất,M,8,352000
11/08/2026,Cà Phê Sữa Đá (Pha Máy),M,7,212000
11/08/2026,Cà Phê Đen Đá (Pha Máy),M,7,217000
11/08/2026,Olong Lài Sữa Trân Châu,M,7,287000
11/08/2026,Sữa Chua Việt Quât,M,7,287000
11/08/2026,Trà Sữa Fulltopping,M,6,220000
11/08/2026,Trà Ổi Hồng Ngọc Trai,M,6,264000
11/08/2026,Trà Tắc Xí Muội,M,6,234000
11/08/2026,Trà Sữa Nguyên Lá Bánh Bò,M,6,246000
11/08/2026,Trà Dứa Đác Rim,M,6,264000
11/08/2026,Topping Trân Châu Đen,Không ghi rõ,6,42000
11/08/2026,Topping Trân Châu Ngọc Trai,Không ghi rõ,6,42000
11/08/2026,Matcha Latte Sữa Gấu,M,6,264000
11/08/2026,Matcha Đá Xay,S,6,210000
11/08/2026,Olong Sen Nhãn,M,6,264000
11/08/2026,Olong Mơ Thanh Mai,M,6,264000
11/08/2026,Cà Phê Phindi Hạnh Nhân,S,6,210000
11/08/2026,Xiên Há Cảo Chiên,Không ghi rõ,5,95000
11/08/2026,Topping Khúc Bạch Phomai,Không ghi rõ,5,35000
11/08/2026,Cà Phê Phindi Hạnh Nhân,M,5,220000
11/08/2026,Xiên Hồ Lô Chiên,Không ghi rõ,5,125000
11/08/2026,Việt Quất Đá Xay,S,5,175000
11/08/2026,Matcha Coconut,M,5,220000
11/08/2026,Sữa Chua Dâu Tây,M,4,164000
11/08/2026,Oolong Sen Nhãn Lá Nếp,M,4,176000
11/08/2026,Trà Sữa Hạnh Nhân Phomai,M,4,176000
11/08/2026,Cà Phê Phindi Caramel,S,4,140000
11/08/2026,Topping Trân Châu Bánh Bò,Không ghi rõ,4,28000
11/08/2026,Topping Hạt Đác,Không ghi rõ,4,28000
11/08/2026,Bạc Sỉu,L,3,127672
11/08/2026,Trà Sữa Truyền Thống Trân Châu,M,3,123000
11/08/2026,Trà Đào,L,3,153000
11/08/2026,Xiên Tôm Viên Chiên,Không ghi rõ,3,57000
11/08/2026,Trà Vải Lài,M,3,132000
11/08/2026,Trà Đào Cam Sả,L,3,153000
11/08/2026,Trà Sữa Trân Châu Oreo Dầm,M,3,132000
11/08/2026,Trà Sữa Hạnh Nhân Phomai,L,3,153000
11/08/2026,Sữa Chua Việt Quât,L,3,144000
11/08/2026,Sữa Tươi Trân Châu Đường Đen,M,3,132000
11/08/2026,Sữa Chua Xoài Thơm Đác,M,3,132000
11/08/2026,Olong Sen Nhãn,L,3,153000
11/08/2026,Oolong Sen Nhãn Lá Nếp,L,3,153000
11/08/2026,Trà Dưa Lưới Tứ Quý,M,3,132000
11/08/2026,Cafe Muối,L,2,88000
11/08/2026,Matcha Sen Lài Dừa,M,2,88000
11/08/2026,Cà Phê Phindi Caramel,M,2,88000
11/08/2026,Nước Cam Tươi,L,2,92000
11/08/2026,Pho Mai Que Chiên,Không ghi rõ,2,38000
11/08/2026,Sữa Chua Xoài Thơm Đác,L,2,102000
11/08/2026,Sữa Tươi Trân Châu Bánh Bò,M,2,88000
11/08/2026,Trà Sữa Kem Dẻo Phô Mai,M,2,73558
11/08/2026,Trà Trái Cây Nhiệt Đới,L,2,102000
11/08/2026,Trà Đào,M,2,88000
11/08/2026,Việt Quất Đá Xay,M,2,88000
11/08/2026,Olong Mơ Thanh Mai,L,2,102000
11/08/2026,Trà Dưa Lưới Tứ Quý,L,2,96070
11/08/2026,Trà Sữa Kem Trứng Nướng,M,2,88000
11/08/2026,Trà Sữa Khoai Môn Tươi,L,2,102000
11/08/2026,Matcha Latte Sữa Gấu,L,2,102000
11/08/2026,Olong Lài Sữa Trân Châu,L,2,96000
11/08/2026,Matcha Coconut,L,1,51000
11/08/2026,Cà Phê Sữa Đá (Pha Máy),L,1,40000
11/08/2026,Socola Đá Xay,M,1,33892
11/08/2026,Cà Phê Đen Đá (Pha Máy),L,1,38000
11/08/2026,Nước Cam Tươi,M,1,39000
11/08/2026,Matcha Đá Xay,M,1,44000
11/08/2026,Topping Pudding Trứng,Không ghi rõ,1,7000
11/08/2026,Topping Kem Muối,Không ghi rõ,1,7000
11/08/2026,Sữa Tươi Trân Châu Đường Đen,L,1,51000
11/08/2026,Socola Đá Xay,L,1,44302
11/08/2026,Trà Sữa Trân Châu Oreo Dầm,L,1,42630
11/08/2026,Trà Cam Dâu Đác,L,1,51000
11/08/2026,Topping Đào Ngâm,Không ghi rõ,1,7000
11/08/2026,Trà Dứa Đác Rim,L,1,51000
11/08/2026,Trà Tắc Thái Xanh,L,1,46000
11/08/2026,Trà Vải Lài,L,1,51000
11/08/2026,Trà Ổi Hồng Ngọc Trai,L,1,51000
11/08/2026,ai,Không ghi rõ,1,11000
